comm_no,strategy,contract,lot
shcu,st301a_cu_day,cu1902,1
shhc,st301a_hc_day,hc1905,1
shni,st301a_ni_day,ni1905,1
shpb,st301a_pb_day,pb1902,1
shrb,st301a_rb_day,rb1905,27
shsp,st301a_sp_day,sp1906,1
shcu,st302a_cu_day,cu1902,1
shpb,st302a_pb_day,pb1902,1
shrb,st302a_rb_day,rb1905,27
shcu,st303a_cu_day,cu1902,1
shfu,st303a_fu_day,fu1905,1
shpb,st303a_pb_day,pb1902,1
shrb,st303a_rb_day,rb1905,27
shzn,st303a_zn_day,zn1902,1
shrb,st304a_rb_day,rb1905,18
shrb,st305a_rb_day,rb1905,27
shrb,st308a_rb_day,rb1905,17
shrb,st306a_rb_day,rb1905,27
shrb,st307a_rb_day,rb1905,16
shcu,st309a_cu_day,cu1902,1
shpb,st309a_pb_day,pb1902,1
shrb,st309a_rb_day,rb1905,27
shrb,st310a_rb_day,rb1905,27
shpb,st311a_pb_day,pb1902,1
shrb,st311a_rb_day,rb1905,27
shpb,st314a_pb_day,pb1902,1
shrb,st314a_rb_day,rb1905,27
shcu,st315a_cu_day,cu1902,1
shpb,st315a_pb_day,pb1902,1
shrb,st315a_rb_day,rb1905,13
shrb,st316a_rb_day,rb1905,13
shzn,st316a_zn_day,zn1902,1
shcu,st317a_cu_day,cu1902,1
shrb,st317a_rb_day,rb1905,13
shrb,st313a_rb_day,rb1905,13
shrb,st312a_rb_day,rb1905,13
